time,latitude,longitude,depth,mag
2021-10-23T12:12:03.459Z,63.0866,-150.9116,123,2.1
2021-10-23T12:10:45.940Z,18.1386,-67.1668,19,2.64
2021-10-23T12:03:34.754Z,38.1538,-117.9146,11.9,0.6
2021-10-23T12:03:26.160Z,60.5092,-150.654,49,1.7
2021-10-23T12:02:28.439Z,38.1731,-117.8701,4.7,1.5
2021-10-23T11:46:49.170Z,19.33399963,-155.130661,-0.119999997,1.98
2021-10-23T11:43:37.350Z,38.8191681,-122.8130035,2.78,0.84
2021-10-23T11:39:09.865Z,38.5482,-119.4597,3.7,0.9
2021-10-23T11:29:10.503Z,63.2988,-151.3488,0.8,2.3
2021-10-23T11:28:35.536Z,63.2781,-151.3952,4.2,1.6
2021-10-23T11:27:17.810Z,32.0555,-117.4541667,5.91,2.85
2021-10-23T11:07:53.260Z,37.4938333,-118.778,8.88,0.61
2021-10-23T11:04:30.160Z,61.4177,-152.1043,102.6,2.6
2021-10-23T10:38:12.233Z,38.5397,-119.5132,9.7,0.9
2021-10-23T10:35:29.340Z,19.20050049,-155.4705048,33.43000031,1.86000001
2021-10-23T10:32:43.231Z,-6.9231,129.9346,140.01,4.5
2021-10-23T10:21:16.751Z,38.493,-119.5225,8.1,1
2021-10-23T09:40:35.640Z,38.8325005,-122.8201675,1.84,0.85
2021-10-23T09:34:33.700Z,19.21183395,-155.4425049,35.90999985,1.97000003
2021-10-23T09:20:36.570Z,33.6415,-116.6936667,13.24,0.74
2021-10-23T09:15:52.430Z,38.8326683,-122.8174973,1.71,0.85
2021-10-23T09:14:19.150Z,69.117,-144.5842,3.4,2.8
2021-10-23T09:10:58.328Z,42.3043,-126.1791,10,3.2
2021-10-23T08:52:18.490Z,38.8343315,-122.8024979,2.03,1.11
2021-10-23T08:43:58.489Z,37.3651,-117.1453,9,1.9
2021-10-23T08:41:04.200Z,60.0086,-152.1847,79.6,2
2021-10-23T08:37:07.660Z,38.6911659,-122.4283371,5.28,1.41
2021-10-23T08:33:09.990Z,19.21899986,-155.3730011,33.36000061,2.25
2021-10-23T08:32:58.850Z,38.838501,-122.8003311,1.55,0.85
2021-10-23T08:31:43.870Z,38.8323326,-122.8171692,1.8,0.85
2021-10-23T08:25:49.930Z,19.22333336,-155.3681641,33.61000061,2.32
2021-10-23T08:21:44.435Z,-24.1692,-67.187,163.79,4.8
2021-10-23T08:20:17.546Z,38.5251,-119.4361,2.2,0.8
2021-10-23T08:10:20.327Z,38.1929,-117.8625,10.8,1.4
2021-10-23T08:05:04.810Z,35.8941667,-117.409,3.59,1.11
2021-10-23T08:00:42.431Z,-57.4893,-25.7397,55.46,5
2021-10-23T08:00:22.052Z,31.645,-104.4014,5,2.6
2021-10-23T07:47:50.880Z,35.6441667,-117.4668333,9.31,1.22
2021-10-23T07:41:38.399Z,59.7711,-152.5396,96.6,2.1
2021-10-23T07:41:27.790Z,38.8364983,-122.8003311,1.72,0.8
2021-10-23T07:40:32.670Z,35.7018333,-117.4686667,2.67,0.83
2021-10-23T07:37:38.729Z,61.4414,-150.1881,33.2,2.2
2021-10-23T07:36:06.660Z,38.7873344,-122.7631683,0.96,1.41
2021-10-23T07:34:06.460Z,35.805,-117.6235,6.84,0.59
2021-10-23T07:24:28.187Z,63.5112,-146.7241,0,2
2021-10-23T07:23:25.050Z,38.8181648,-122.7955017,2.28,1.64
2021-10-23T07:22:33.587Z,63.509,-146.8129,7.4,2
2021-10-23T07:12:57.399Z,-5.836,128.926,220.91,4.3
2021-10-23T07:08:52.740Z,38.831665,-122.8000031,2.36,0.85
2021-10-23T07:07:31.247Z,64.4222,-146.6901,2,1.5
2021-10-23T07:05:35.630Z,38.7563324,-122.7026672,1.3,1.57
2021-10-23T06:54:53.200Z,36.4523333,-117.9635,8.27,1.85
2021-10-23T06:53:40.260Z,38.7874985,-122.7611694,1.62,0.6
2021-10-23T06:53:19.720Z,38.786499,-122.7616653,1.74,0.8
2021-10-23T06:52:00.110Z,38.7523346,-122.4585037,7.87,1.48
2021-10-23T06:51:03.171Z,61.2799,-147.8512,31.3,1.6
2021-10-23T06:48:39.530Z,38.838501,-122.7996674,1.86,0.85
2021-10-23T06:30:30.405Z,59.5577,-152.9178,92.1,2.2
